Strategy Title,Next Work Type,Priority
Strategic Board Recruitment,MAINTAIN,P2
Inclusive Nomination and Onboarding,MAINTAIN,P2
Board Governance Development,DEVELOP,P2
Volunteer Pathways and Member Committees,GROW,P2
Transparent Communication and Shared Leadership,DEVELOP,P2
Board Interaction with Members,GROW,P2
Governance Model and Policy Review,REFINE,P2
Leadership and Succession Planning,PLAN,P2
Knowledge Transfer and Governance Archive,DEVELOP,P2
Reserve Development and Investment Strategy,DEVELOP,P1
Building Capital and Endowment Preparation,DEVELOP,P2
Sustainable and Equitable Membership Revenue,GROW,P2
Program and Product Line Monitoring,REFINE,P2
Partnership and Organizational Revenue,GROW,P2
Modern and Efficient Financial Infrastructure,REFINE,P2
Financial Dashboards and Transparency Tools,DEVELOP,P2
Policies Review and Audit Cycle,DEVELOP,P2
Comprehensive Safety Program,REFINE,P2
Tool Maintenance and Replacement Planning,DEVELOP,P2
Sustainable Operations Practices,PLAN,P2
Staff Retention Efficiency and Operational Continuity,REFINE,P2
Space Design and Member Experience,PLAN,P1
Digital Support and Self-Service Systems,REFINE,P2
Accessibility and Inclusive Design,GROW,P2
Adaptive Tools Training and Representation,DEVELOP,P2
Secure and Collaborative Digital Infrastructure,DEVELOP,P2
AI-Driven Automation and Member Support,DEVELOP,P2
Centralized Feedback and Engagement System,REFINE,P2
Makerspace Network Integration and Collaboration,GROW,P2
Downtown Space Optimization and Expansion,PLAN,P2
Second-Site Feasibility and Ownership Planning,PLAN,P2
Regional and Network Leadership Framework,PLAN,P2
Conversion-Focused Marketing and Follow-Ups,PLAN,P2
Paid Digital Advertising and Retargeting,PLAN,P2
Website and Onboarding Optimization,REFINE,P2
Member Referral and Ambassador Programs,GROW,P2
Neighborhood Apartment and Regional Outreach,PLAN,P1
Community Tabling and Partner Events,GROW,P2
Earned Media and Public Relations,PLAN,P2
Sliding Scale Scholarships and Financial Flexibility,REFINE,P2
Partner Outreach and Sponsored Access Programs,PLAN,P2
Diverse Instructors and Inclusive Marketing,GROW,P2
Targeted Welcome Nights and Inclusive Maker Support,DEVELOP,P2
Data-Driven Retention Tracking,DEVELOP,P2
Rejoin and Recapture Pathways,PLAN,P1
Structured Onboarding and Early Engagement,REFINE,P1
Early Engagement Monitoring,DEVELOP,P1
New Member Gatherings and Peer Introductions,DEVELOP,P2
Interest-Based Groups,GROW,P2
Community Events and Member Recognition,GROW,P2
GEMs and Introductory Program Expansion,GROW,P2
Inclusive Representation and Accessibility Review,REFINE,P2
Transparency Feedback and Dashboards,DEVELOP,P2
Culture of Listening and Recognition,GROW,P2
Data-Driven and Automated Learning Systems,DEVELOP,P2
Collaborative and Co-Designed Programs,PLAN,P2
Personalized Engagement Tools,DEVELOP,P2
Quality Assurance and Continuous Improvement,PLAN,P2
Instructor Development and Diversity Pipeline,DEVELOP,P2
Learning Pathways and Progressive Projects,DEVELOP,P2
Storytelling and Showcasing Achievements,GROW,P2
Digital Badging and Workforce Pathways,GROW,P2
Sliding-Scale and Sponsored Access,REFINE,P2
Targeted Outreach and Co-Creation,DEVELOP,P2
Youth and School Collaboration,GROW,P2
Entrepreneurship Coordination and Network Building,GROW,P2
Metrics and Ecosystem Tracking,DEVELOP,P2
Sustainable Funding and Partnerships,DEVELOP,P2
Integrated Idea-to-Prototype Pathway,REFINE,P2
Incubator Workspace Program,GROW,P2
Cohort-Based Entrepreneurship Programs,PLAN,P2
Entrepreneurship Events and Community Education,GROW,P2
Craft and Micro-Enterprise Support,PLAN,P2
Maker Marketplace and Retail Presence,PLAN,P2
Manufacturing Transition Partnerships,DEVELOP,P2
Sponsorship Plan Materials and Recognition,DEVELOP,P1
Sponsorship Program Leadership,DEVELOP,P2
Two Annual Appeals,MAINTAIN,P2
Recurring Giving Program,REFINE,P2
LAI Qualification and Pipeline,GROW,P1
Stewardship Cadence,PLAN,P2
Integrated CRM and Calendar Tracking,GROW,P1
Collaborative Proposals,PLAN,P2
Rotating Case Statements,PLAN,P2
CRM and Pipeline Management,DEVELOP,P2
Board Staff and Committee Enablement,PLAN,P1
Multi-Year and Matching Gift Tools,PLAN,P2
Planned Giving Quiet Build,PLAN,P2
Program-Linked Sponsorships and Mission Partnerships,PLAN,P2
